51311, 3157, 2105, 1598, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
51355, 2992, 2230, 1751, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
51399, 2979, 2264, 1818, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
51443, 2896, 2278, 1892, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
51487, 2739, 2178, 2004, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
51527, 2658, 2453, 2084, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
51567, 2610, 2253, 2432, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
51607, 2439, 2230, 2531, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
51647, 2404, 2414, 2513, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
51687, 2229, 2391, 2524, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
51728, 2183, 2282, 2553, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
51768, 2155, 2350, 2667, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
51808, 2094, 2415, 2596, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
51848, 2107, 2404, 2749, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
51888, 2070, 2247, 2833, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
51929, 2032, 2303, 2824, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
51964, 2087, 2464, 2882, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
51999, 2348, 2727, 2652, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
52035, 2502, 2281, 2395, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
52070, 2742, 1844, 3120, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
52106, 3606, 2972, 2056, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
52141, 4255, 2416, 2266, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
52176, 4448, 1899, 2621, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
52212, 3923, 2176, 2999, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
52247, 3063, 895, 4430, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
52283, 2649, 508, 3853, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
52320, 2836, 892, 3301, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
52358, 3107, 1297, 1735, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
52396, 2529, 285, 541, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
52434, 1853, 1252, 1452, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
52472, 1692, 2792, 3029, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
52510, 2118, -1260, 3985, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
52548, 1683, 863, 3503, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
52586, 1796, 978, 2705, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
52624, 1593, 1243, 2526, 66, 101840ce-23a9-453b-90b2-7ada3e9a5e83, , transisi, transisi_sujud_ke_duduk, , 
