84861, 2742, 1704, 2552, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
84906, 2930, 1510, 2503, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
84951, 2987, 1381, 2516, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
84996, 2977, 1341, 2500, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85042, 2952, 1359, 2575, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85076, 2913, 1418, 2626, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85110, 2682, 1551, 2865, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85144, 2733, 1357, 2903, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85178, 2530, 1550, 2975, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85212, 2371, 1508, 3022, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85246, 2312, 1487, 3148, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85280, 2291, 1533, 3204, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85314, 2068, 1561, 3199, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85348, 2087, 1537, 3277, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85383, 2005, 1583, 3294, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85421, 1873, 1476, 3379, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85460, 1804, 1489, 3435, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85498, 1651, 1522, 3408, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85537, 1503, 1550, 3528, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85575, 1371, 1484, 3582, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85614, 1307, 1389, 3596, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85652, 1335, 1363, 3700, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85691, 1107, 1402, 3769, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85729, 1154, 1185, 3629, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85768, 471, 1440, 3563, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85807, -1473, 2301, 3837, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85844, 3591, 640, 4056, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85881, 961, 982, 4865, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85918, 4769, 1810, 3902, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85955, 5119, 1710, 2634, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
85993, 4274, 904, 1759, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
86030, 3547, 1074, 856, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
86067, 2506, 381, 1001, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
86104, 3810, 1497, 7644, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
86141, 4129, -677, 2866, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
86179, -379, 1383, 2220, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
86216, 906, 1565, 4091, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
86253, 1724, 1399, 2831, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
86291, 1111, 1698, 2370, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
86328, 1770, 2010, 3121, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
86366, 1969, 1054, 3608, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
86403, 1533, 1343, 2928, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
86441, 1031, 1898, 3151, 95, 28163738-67f2-4818-8d31-30bb2fb249ca, , transisi, transisi_sujud_ke_duduk, , 
