198309, 3399, 2186, 962, 97, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
198339, 3365, 2228, 1031, 97, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
198369, 3404, 2016, 772, 97, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
198413, 3479, 2070, 1060, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
198457, 3422, 2146, 1086, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
198501, 3456, 2080, 1063, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
198545, 3403, 2016, 1127, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
198590, 3339, 2157, 1323, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
198634, 3395, 2004, 1352, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
198678, 3285, 2103, 1445, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
198722, 3356, 1847, 1537, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
198766, 3264, 1994, 1589, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
198811, 3363, 1902, 1565, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
198849, 3298, 1940, 1642, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
198887, 3181, 2032, 1631, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
198926, 3265, 1939, 1628, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
198964, 3313, 1955, 1641, 95, 3af415ee-310d-4347-90a6-c3a7609da0c6, , transisi, transisi_sujud_ke_duduk, , 
