315617, 2591, 740, 2940, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
315648, 2772, 648, 3058, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
315680, 2328, 685, 3649, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
315711, 1885, 1727, 3490, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
315743, 2597, 1105, 3107, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
315774, 2550, 1140, 2931, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
315806, 2555, 989, 3144, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
315837, 2533, 850, 3178, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
315869, 2552, 848, 3138, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
315900, 2487, 704, 3282, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
315932, 2312, 810, 3401, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
315972, 2290, 773, 3354, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316012, 2319, 792, 3342, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316052, 2279, 780, 3315, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316093, 2207, 799, 3475, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316133, 2219, 870, 3435, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316173, 2089, 871, 3456, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316214, 2244, 790, 3456, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316254, 2059, 695, 3543, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316294, 1998, 537, 3594, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316335, 1806, 452, 3643, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316375, 1856, 722, 3743, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316416, 2366, 732, 4173, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316456, 5627, 3757, 1910, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316497, 4972, -61, 3004, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316538, 4555, -400, 2874, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316578, 4236, 276, 2115, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316619, 3091, 229, 2101, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316659, 3523, -455, 2947, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316700, 2958, -499, 2508, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316741, 2509, -80, 1097, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316776, 2793, 748, 739, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316812, 3043, 1205, 143, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316847, 1661, 2278, 2326, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316883, 2641, 3710, 2248, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316919, 2974, 1484, 2608, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316954, 2412, -646, 2598, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
316990, 2574, 1515, 2782, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
317026, 3033, 152, 2781, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
317061, 2882, 658, 2518, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
317097, 3089, 856, 2680, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
317133, 2854, 189, 2818, 94, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
317175, 2818, 452, 3123, 95, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
317218, 2794, 521, 2829, 95, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
