436022, 3746, 871, 1365, 75, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
436061, 3701, 1154, 1546, 75, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
436101, 3738, 1003, 1484, 75, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
436141, 3752, 1166, 1509, 75, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
436180, 3719, 1096, 1442, 75, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
436220, 3727, 1132, 1513, 75, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
436260, 3719, 1148, 1504, 75, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
436299, 3664, 1129, 1461, 75, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
436339, 3663, 1211, 1637, 75, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
436379, 3625, 1147, 1604, 75, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
436419, 3596, 1205, 1731, 75, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
436455, 3551, 1226, 1769, 75, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
436492, 3534, 1149, 1893, 75, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
436529, 3454, 1277, 1922, 75, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
436566, 3399, 1211, 2007, 75, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
436603, 3379, 1367, 1954, 75, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
436639, 3283, 1390, 2155, 75, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
436676, 3229, 1375, 2143, 75, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
436713, 3121, 1501, 2230, 75, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
436750, 3009, 1587, 2317, 75, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
436787, 2971, 1653, 2393, 75, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
436824, 2975, 1760, 2400, 75, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
436870, 2679, 1803, 2532, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
436916, 2884, 1707, 2559, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
436963, 2721, 2106, 2953, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437009, 2198, 2267, 2510, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437056, 2346, 1992, 3165, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437102, 2484, 2437, 2867, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437148, 2364, 1526, 2383, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437195, 2525, 2189, 2573, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437241, 2062, 1785, 2937, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437288, 2226, 1765, 3188, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437318, 2365, 1775, 2301, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437348, 2051, 2009, 2308, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437378, 2234, 2265, 2669, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437408, 2107, 2231, 2445, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437438, 2489, 2406, 2928, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
437468, 2943, 1807, 3324, 76, 552ef930-f10e-47e3-851a-bc8859f45fec, , transisi, transisi_sujud_ke_duduk, , 
