101932, 3341, 2066, 1241, 77, 6426555a-a957-4323-8fad-f714d573da03, , transisi, transisi_sujud_ke_duduk, , 
101965, 3313, 2128, 1216, 77, 6426555a-a957-4323-8fad-f714d573da03, , transisi, transisi_sujud_ke_duduk, , 
101999, 3356, 2083, 1293, 77, 6426555a-a957-4323-8fad-f714d573da03, , transisi, transisi_sujud_ke_duduk, , 
102032, 3282, 2189, 1274, 77, 6426555a-a957-4323-8fad-f714d573da03, , transisi, transisi_sujud_ke_duduk, , 
102065, 3289, 2155, 1313, 77, 6426555a-a957-4323-8fad-f714d573da03, , transisi, transisi_sujud_ke_duduk, , 
102099, 3245, 2069, 1255, 77, 6426555a-a957-4323-8fad-f714d573da03, , transisi, transisi_sujud_ke_duduk, , 
102132, 3230, 2147, 1471, 77, 6426555a-a957-4323-8fad-f714d573da03, , transisi, transisi_sujud_ke_duduk, , 
102165, 3274, 2079, 1272, 77, 6426555a-a957-4323-8fad-f714d573da03, , transisi, transisi_sujud_ke_duduk, , 
102199, 3218, 2028, 1523, 77, 6426555a-a957-4323-8fad-f714d573da03, , transisi, transisi_sujud_ke_duduk, , 
102232, 3135, 2208, 1637, 77, 6426555a-a957-4323-8fad-f714d573da03, , transisi, transisi_sujud_ke_duduk, , 
102266, 3101, 2285, 1511, 77, 6426555a-a957-4323-8fad-f714d573da03, , transisi, transisi_sujud_ke_duduk, , 
102314, 3196, 2228, 1457, 78, 6426555a-a957-4323-8fad-f714d573da03, , transisi, transisi_sujud_ke_duduk, , 
102363, 3034, 2395, 1721, 78, 6426555a-a957-4323-8fad-f714d573da03, , transisi, transisi_sujud_ke_duduk, , 
102412, 3055, 2257, 1717, 78, 6426555a-a957-4323-8fad-f714d573da03, , transisi, transisi_sujud_ke_duduk, , 
102460, 2841, 2421, 1888, 78, 6426555a-a957-4323-8fad-f714d573da03, , transisi, transisi_sujud_ke_duduk, , 
102509, 2895, 2199, 1979, 78, 6426555a-a957-4323-8fad-f714d573da03, , transisi, transisi_sujud_ke_duduk, , 
102558, 2819, 2253, 1964, 78, 6426555a-a957-4323-8fad-f714d573da03, , transisi, transisi_sujud_ke_duduk, , 
102606, 2801, 2234, 2138, 78, 6426555a-a957-4323-8fad-f714d573da03, , transisi, transisi_sujud_ke_duduk, , 
102655, 2799, 2094, 2167, 78, 6426555a-a957-4323-8fad-f714d573da03, , transisi, transisi_sujud_ke_duduk, , 
102704, 2857, 2057, 2151, 78, 6426555a-a957-4323-8fad-f714d573da03, , transisi, transisi_sujud_ke_duduk, , 
102753, 2851, 2185, 2104, 78, 6426555a-a957-4323-8fad-f714d573da03, , transisi, transisi_sujud_ke_duduk, , 
102784, 2960, 2137, 2069, 78, 6426555a-a957-4323-8fad-f714d573da03, , transisi, transisi_sujud_ke_duduk, , 
102815, 3074, 2100, 2116, 78, 6426555a-a957-4323-8fad-f714d573da03, , transisi, transisi_sujud_ke_duduk, , 
