270659, 3639, 1087, 1615, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
270695, 3602, 1111, 1668, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
270731, 3613, 1160, 1680, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
270767, 3610, 1184, 1646, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
270803, 3608, 1115, 1713, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
270840, 3606, 1285, 1636, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
270882, 3530, 1182, 1784, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
270925, 3442, 1399, 1818, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
270967, 3453, 1244, 1917, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
271010, 3298, 1553, 1951, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
271052, 3313, 1345, 2106, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
271095, 3148, 1560, 2200, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
271137, 3089, 1527, 2372, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
271180, 3011, 1569, 2343, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
271222, 2998, 1538, 2427, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
271265, 2887, 1542, 2564, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
271299, 2804, 1621, 2635, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
271333, 2774, 1946, 2667, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
271368, 2944, 1783, 2800, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
271402, 2194, 1658, 2890, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
271436, 2199, 2326, 2807, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
