151243, 3093, 2135, 1540, 75, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
151279, 2997, 2410, 1619, 75, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
151316, 2743, 2547, 1794, 75, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
151352, 2656, 2476, 1854, 75, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
151389, 2288, 2900, 1872, 75, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
151425, 2344, 2963, 2020, 75, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
151462, 2306, 2961, 2070, 75, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
151498, 2244, 2881, 2014, 75, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
151535, 2158, 2937, 2019, 75, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
151571, 2082, 2861, 2114, 75, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
151608, 2073, 2834, 2195, 75, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
151645, 1983, 2871, 2251, 75, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
151685, 1970, 2885, 2418, 75, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
151725, 2035, 2768, 2422, 75, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
151765, 1988, 2942, 2450, 75, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
151805, 2154, 2888, 2456, 75, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
151846, 2250, 2830, 2536, 75, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
151886, 2797, 2613, 2591, 75, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
151926, 3043, 2674, 2547, 75, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
151966, 4343, 2687, 1901, 75, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
152006, 4668, 1760, 1590, 75, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
152047, 5237, 1922, 1462, 75, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
152086, 4584, 1458, 1443, 74, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
152125, 3625, 779, 1350, 74, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
152164, 3197, 274, 1581, 74, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
152204, 2589, 431, 1341, 74, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
152243, 2384, 86, 1279, 74, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
152282, 2312, 821, 1338, 74, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
152322, 1387, 13841, 4645, 74, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
152361, 726, -2642, 3104, 74, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
152400, 1573, 4793, 3085, 74, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
152440, 1541, 2454, 2218, 74, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
152476, 1989, 2301, 3087, 74, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
152513, 1529, 3004, 2656, 74, 79ad7b2d-a883-451c-9d4c-7524aee1bb18, , transisi, transisi_sujud_ke_duduk, , 
