61228, 2962, 2284, 1724, 84, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
61269, 2871, 2444, 1803, 84, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
61309, 2734, 2473, 2023, 84, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
61349, 2571, 2589, 1998, 84, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
61389, 2650, 2021, 2391, 84, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
61429, 2497, 2291, 2475, 84, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
61470, 2294, 2295, 2485, 84, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
61506, 2279, 2531, 2457, 84, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
61543, 2271, 2337, 2512, 84, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
61580, 2141, 2484, 2537, 84, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
61617, 2140, 2396, 2599, 84, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
61654, 2068, 2360, 2723, 84, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
61690, 2016, 2287, 2815, 84, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
61727, 2077, 2302, 2838, 84, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
61764, 2070, 1939, 2980, 84, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
61801, 2174, 2034, 2951, 84, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
61838, 1801, 2231, 2971, 84, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
61875, 1906, 2069, 3087, 84, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
61917, 1945, 2248, 2983, 85, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
61960, 2014, 2246, 3126, 85, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
62002, 2298, 2384, 3098, 85, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
62045, 2855, 1697, 3195, 85, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
62088, 3645, 1249, 3131, 85, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
62130, 5567, 1684, 2360, 85, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
62173, 5406, 1599, 1751, 85, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
62215, 4952, 1133, 1978, 85, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
62258, 4190, 830, 1986, 85, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
62301, 3830, -131, 1606, 85, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
62339, 3789, 331, 1159, 85, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
62378, 2906, 542, 965, 85, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
62417, 2978, 1128, 3064, 85, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
62455, 3134, -2213, -1070, 85, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
62494, -793, 1025, 502, 85, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
62533, 198, 940, 2664, 85, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
62572, 902, 1690, 5922, 85, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
62610, 1181, 792, 4563, 85, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
62649, 1266, 1763, 3377, 85, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
62688, 1665, 1290, 3056, 85, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
62727, 1978, 2072, 3193, 85, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
62762, 2094, 2164, 2916, 85, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
62797, 2220, 1879, 2835, 85, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
62832, 2286, 1833, 2839, 85, 7ae245c0-e4d6-4f62-b08b-4787516ef2dd, , transisi, transisi_sujud_ke_duduk, , 
