229972, 2074, 2266, 2840, 88, 8f3f9027-962c-4236-9fd9-5015830e4b01, , transisi, transisi_sujud_ke_duduk, , 
230011, 2068, 2336, 2734, 88, 8f3f9027-962c-4236-9fd9-5015830e4b01, , transisi, transisi_sujud_ke_duduk, , 
230051, 2095, 2250, 2746, 88, 8f3f9027-962c-4236-9fd9-5015830e4b01, , transisi, transisi_sujud_ke_duduk, , 
230091, 2105, 2291, 2744, 88, 8f3f9027-962c-4236-9fd9-5015830e4b01, , transisi, transisi_sujud_ke_duduk, , 
230131, 2124, 2164, 2678, 88, 8f3f9027-962c-4236-9fd9-5015830e4b01, , transisi, transisi_sujud_ke_duduk, , 
230171, 2164, 2354, 2722, 88, 8f3f9027-962c-4236-9fd9-5015830e4b01, , transisi, transisi_sujud_ke_duduk, , 
230211, 2131, 2565, 2574, 88, 8f3f9027-962c-4236-9fd9-5015830e4b01, , transisi, transisi_sujud_ke_duduk, , 
230251, 2231, 2472, 2609, 88, 8f3f9027-962c-4236-9fd9-5015830e4b01, , transisi, transisi_sujud_ke_duduk, , 
230291, 2155, 2377, 2615, 88, 8f3f9027-962c-4236-9fd9-5015830e4b01, , transisi, transisi_sujud_ke_duduk, , 
230331, 2154, 2373, 2656, 88, 8f3f9027-962c-4236-9fd9-5015830e4b01, , transisi, transisi_sujud_ke_duduk, , 
230371, 2161, 2375, 2684, 88, 8f3f9027-962c-4236-9fd9-5015830e4b01, , transisi, transisi_sujud_ke_duduk, , 
230408, 2084, 2345, 2663, 88, 8f3f9027-962c-4236-9fd9-5015830e4b01, , transisi, transisi_sujud_ke_duduk, , 
230445, 2112, 2346, 2671, 88, 8f3f9027-962c-4236-9fd9-5015830e4b01, , transisi, transisi_sujud_ke_duduk, , 
230482, 2075, 2255, 2727, 88, 8f3f9027-962c-4236-9fd9-5015830e4b01, , transisi, transisi_sujud_ke_duduk, , 
230519, 2057, 2306, 2789, 88, 8f3f9027-962c-4236-9fd9-5015830e4b01, , transisi, transisi_sujud_ke_duduk, , 
230556, 2015, 2303, 2793, 88, 8f3f9027-962c-4236-9fd9-5015830e4b01, , transisi, transisi_sujud_ke_duduk, , 
230593, 2036, 2299, 2847, 88, 8f3f9027-962c-4236-9fd9-5015830e4b01, , transisi, transisi_sujud_ke_duduk, , 
230630, 2111, 2284, 3014, 88, 8f3f9027-962c-4236-9fd9-5015830e4b01, , transisi, transisi_sujud_ke_duduk, , 
