111289, 3038, 2215, 1733, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
111328, 3037, 2193, 1765, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
111367, 3019, 2202, 1804, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
111406, 2973, 2226, 1839, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
111445, 2843, 2350, 1883, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
111485, 2839, 2244, 1926, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
111526, 2708, 2243, 2161, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
111567, 2557, 2331, 2257, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
111608, 2375, 2446, 2362, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
111649, 2082, 2678, 2472, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
111690, 2587, 2090, 2424, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
111731, 2357, 2146, 2569, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
111772, 1888, 2366, 2766, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
111813, 1837, 2152, 2909, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
111854, 1437, 2390, 3068, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
111891, 1405, 2171, 3241, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
111929, 1212, 2304, 3361, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
111967, 1261, 2054, 3457, 99, 92893b37-7855-49ef-a35e-41b1fb0d5caf, , transisi, transisi_sujud_ke_duduk, , 
