534059, 3534, 1494, 1533, 84, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
534092, 3547, 1463, 1564, 84, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
534132, 3418, 1857, 1732, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
534173, 3307, 1824, 1848, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
534214, 3165, 1855, 2110, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
534255, 3162, 1689, 2058, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
534296, 2954, 1709, 2416, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
534337, 2667, 1618, 2704, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
534378, 2579, 1822, 2643, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
534419, 2757, 1652, 2905, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
534460, 2366, 1870, 2887, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
534501, 2410, 1976, 2785, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
534539, 2522, 2159, 2600, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
534578, 2431, 2105, 2864, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
534616, 2214, 2211, 2850, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
534655, 2282, 2241, 2834, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
534694, 2139, 1983, 3569, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
534732, 1982, 2118, 3224, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
534771, 2144, 2241, 3141, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
534809, 2119, 1866, 2932, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
534848, 2312, 1868, 2992, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
534887, 2051, 1837, 3060, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
534923, 1830, 1980, 3154, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
534960, 1533, 1816, 2744, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
534997, 1633, 2246, 2886, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535034, 1759, 2287, 2733, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535071, 2349, 1918, 2773, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535108, 3035, 1690, 3203, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535145, 3606, 1458, 3533, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535182, 3222, 1039, 3504, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535219, 2489, 1052, 2901, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535256, 2773, 1339, 3208, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535293, 2380, 1631, 3198, 83, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
535337, 1559, 1931, 3286, 82, 9bd9b917-f59a-4282-a84d-27a45abdd940, , transisi, transisi_sujud_ke_duduk, , 
