212579, 3433, 1358, 1845, 78, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
212622, 3463, 1445, 1845, 78, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
212666, 3392, 1457, 1934, 78, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
212710, 3182, 1478, 2159, 78, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
212753, 3143, 1498, 2220, 78, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
212797, 3154, 1528, 2229, 78, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
212840, 3015, 1535, 2413, 78, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
212884, 2882, 1588, 2609, 78, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
212928, 2742, 1575, 2661, 78, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
212960, 2632, 1620, 2790, 78, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
212993, 2597, 1606, 2802, 78, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213026, 2573, 1672, 2889, 78, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213059, 2406, 1760, 2938, 78, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213092, 2154, 1822, 3009, 78, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213125, 2249, 1926, 2888, 78, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213158, 2147, 1956, 2958, 78, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213191, 2289, 1971, 3013, 78, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213224, 1896, 2043, 3047, 78, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213257, 1579, 2310, 3082, 78, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213290, 2049, 2318, 2783, 78, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213331, 2380, 1980, 2936, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213373, 2166, 2395, 2901, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213415, 2537, 2039, 2859, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213457, 2723, 1748, 3072, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213499, 4566, 1053, 2908, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213540, 4566, 1431, 2884, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213582, 4107, 948, 2184, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213624, 3173, 746, 2105, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213666, 3041, 673, 3555, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213708, 2210, 745, 3895, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213751, 2659, 493, 3802, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213795, 2320, 1441, 3073, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213838, 2723, 850, 2371, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213882, 3034, 592, 2047, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213926, 3065, 815, 2152, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
213969, 2772, 1256, 2982, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214013, 2642, 694, 2656, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214056, 2985, 726, 2837, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214100, 2814, 919, 2662, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214144, 2857, 1050, 2543, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214175, 2804, 509, 2818, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214207, 2769, 676, 2849, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214238, 2675, 375, 3072, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214270, 2688, 376, 2992, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214302, 2757, 694, 3056, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214333, 2986, 462, 2993, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214365, 2885, 804, 2990, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214397, 2681, 893, 2974, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214428, 2553, 803, 3047, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214460, 2639, 857, 3059, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214492, 2689, 1232, 3365, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214534, 2683, 872, 2935, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214576, 2780, 1056, 2978, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214618, 2550, 1033, 3088, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214660, 2269, 1065, 3304, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214702, 2110, 1059, 3359, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214744, 1941, 1349, 3528, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214786, 1645, 1610, 3182, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214828, 1642, 1463, 3642, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214870, 1363, 1484, 3516, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214913, 1092, 1624, 3614, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214948, 1044, 1670, 3465, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
214983, 642, 1367, 3662, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215019, 433, 1282, 3885, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215054, 137, 1428, 3903, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215090, -71, 1489, 3992, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215125, 262, 1603, 4039, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215161, 921, 1631, 3595, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215196, 1089, 1719, 3662, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215232, 1427, 1761, 3659, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215267, 1234, 1812, 3694, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215303, 1318, 1820, 3618, 76, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215344, 1470, 1654, 3564, 74, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215386, 1594, 1763, 3479, 74, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215428, 1814, 1709, 3364, 74, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215469, 1989, 1614, 3209, 74, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215511, 2160, 1706, 3223, 74, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215553, 2263, 1667, 3241, 74, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215594, 2228, 1582, 3294, 74, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215636, 1778, 1336, 3524, 74, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215678, 1416, 1530, 3615, 74, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215720, 1328, 1833, 3531, 74, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215766, 1324, 1899, 3426, 74, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215813, 1367, 1894, 3394, 74, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215859, 1374, 1862, 3438, 74, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215906, 1479, 1861, 3457, 74, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215953, 1439, 1727, 3419, 74, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
215999, 1425, 1830, 3477, 74, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
216046, 1391, 1812, 3491, 74, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
216092, 1400, 1799, 3443, 74, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
216139, 1426, 1811, 3443, 74, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
216186, 1430, 1848, 3464, 74, a054eb25-6d0c-42fa-89ef-f431580dbb58, , transisi, transisi_sujud_ke_duduk, , 
