84726, 2598, 2696, 1746, 64, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
84754, 2558, 2663, 1787, 64, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
84793, 2528, 2678, 1866, 65, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
84832, 2439, 2619, 1936, 65, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
84871, 2214, 2664, 2063, 65, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
84911, 2065, 2732, 2313, 65, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
84950, 1781, 2780, 2466, 65, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
84989, 1474, 2944, 2549, 65, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85029, 1051, 2999, 2729, 65, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85068, 1365, 2732, 2791, 65, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85107, 1181, 2824, 2846, 65, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85147, 1045, 2787, 2857, 65, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85187, 870, 3146, 2813, 65, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85227, 768, 2919, 2863, 65, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85267, 802, 2809, 2930, 65, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85307, 742, 2778, 3054, 65, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85348, 666, 2620, 3274, 65, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85388, 633, 2532, 3180, 65, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85428, 814, 3085, 2839, 65, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85468, 1092, 2711, 3047, 65, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85508, 1263, 2706, 3189, 65, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85549, 1392, 2556, 3313, 65, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85585, 1832, 2421, 2925, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85622, 2924, 1873, 3181, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85659, 3674, 2039, 2795, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85696, 4809, 2551, 2383, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85733, 4662, 2198, 2282, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85769, 4143, 1578, 1925, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85806, 3650, 1322, 1472, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85843, 3577, 609, 1419, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85880, 3384, 739, 1545, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85917, 2752, 1151, 1458, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85954, 4513, 1248, 16867, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
85994, 3755, -989, 260, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86035, -2143, 5758, 2308, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86076, 204, 1585, 4102, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86117, 1397, 793, 5715, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86158, 768, 2017, 2991, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86199, 1726, 1884, 2767, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86240, 2196, 2068, 3080, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86281, 2335, 2104, 2823, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86322, 2242, 2116, 2672, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86363, 2422, 1942, 2629, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86398, 2255, 2143, 2726, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86433, 2119, 2143, 2975, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86468, 2118, 2047, 2983, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86503, 1975, 2122, 2967, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86538, 2015, 2191, 2939, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86573, 2242, 2243, 2892, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86608, 2111, 2439, 2655, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86643, 1912, 2368, 2791, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86678, 1670, 2365, 2855, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86713, 1444, 2386, 2886, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86749, 1296, 2514, 3112, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86789, 1100, 2443, 3073, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86830, 903, 2474, 3197, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86870, 705, 2392, 3303, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86911, 524, 2372, 3371, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86951, 442, 2489, 3302, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
86992, 984, 2584, 2968, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
87032, 1215, 2351, 3004, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
87073, 1318, 2241, 2964, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
87113, 1270, 2592, 2945, 66, a1f46468-fd46-4a00-9ea0-ac7ec10d68ad, , transisi, transisi_sujud_ke_duduk, , 
