94589, 2794, 2119, 2152, 78, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
94629, 2765, 2168, 2192, 78, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
94669, 2774, 2101, 2317, 78, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
94705, 2646, 2152, 2283, 78, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
94742, 2401, 2172, 2436, 78, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
94778, 2208, 2255, 2708, 78, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
94815, 2121, 2183, 2826, 78, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
94852, 2132, 2178, 3072, 78, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
94888, 1905, 2198, 3137, 78, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
94925, 1702, 2135, 3116, 78, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
94962, 1212, 3118, 2539, 78, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
94998, 1320, 2432, 2841, 78, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95035, 1635, 2898, 2575, 78, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95072, 1925, 2946, 2463, 78, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95111, 1433, 2772, 2739, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95151, 1385, 2627, 2892, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95191, 1181, 2920, 2806, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95231, 1524, 2508, 2869, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95271, 1314, 2617, 3019, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95310, 1285, 2845, 2950, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95350, 1395, 2796, 2914, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95390, 1460, 2517, 3064, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95430, 1929, 2360, 3343, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95470, 2654, 2487, 3166, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95507, 3556, 2686, 2850, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95544, 3619, 2813, 3220, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95581, 3474, 2027, 3907, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95619, 2569, 634, 2762, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95656, 2179, 1247, 2613, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95693, 2389, 1857, 2551, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95730, 2449, 785, 2859, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95768, 2392, 1386, 1831, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95805, 2159, 1146, 2216, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95842, 2180, 4596, 2407, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95880, 1493, 801, 3130, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95918, 1683, 1506, 2860, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95956, 1766, 2711, 2021, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
95995, 1543, 2797, 2515, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
96033, 1441, 1771, 3350, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
96072, 1249, 1911, 3318, 79, b2d2934e-e206-4f52-a296-de870fd6e566, , transisi, transisi_sujud_ke_duduk, , 
