109187, 3385, 2194, 847, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
109225, 3522, 2073, 817, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
109263, 3392, 2074, 727, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
109301, 3399, 2185, 982, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
109334, 3438, 2118, 865, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
109368, 3361, 2179, 1035, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
109402, 3314, 2208, 1099, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
109436, 3285, 2270, 1180, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
109470, 3458, 2091, 1194, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
109504, 3155, 2379, 1357, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
109538, 3336, 2100, 1294, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
109572, 3230, 2232, 1254, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
109606, 3208, 2298, 1358, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
109640, 3164, 2397, 1447, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
109674, 3161, 2170, 1421, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
109714, 3115, 2248, 1444, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
109755, 3102, 2287, 1605, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
109796, 3076, 2211, 1656, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
109837, 2909, 2381, 1659, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
109878, 3019, 2203, 1736, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
109919, 2821, 2464, 1748, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
109960, 2879, 2261, 1877, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110001, 2849, 2355, 1884, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110042, 2845, 2227, 1982, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110083, 2790, 2331, 2042, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110118, 2798, 2288, 2047, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110153, 2812, 2234, 2109, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110188, 2711, 2173, 2262, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110224, 2864, 2198, 2166, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110259, 2970, 2299, 2414, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110294, 3211, 2446, 2084, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110329, 3433, 1995, 2013, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110365, 3472, 334, 3311, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110400, 3867, 1993, 3760, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110435, 5451, 1669, 1518, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110471, 4536, 662, 1569, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110511, 3700, 166, 1009, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110551, 2913, -287, 1121, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110591, 3371, 221, 2124, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110631, 3314, 135, 2667, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110672, 3400, 419, 3261, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110712, 3088, 1064, 3349, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110752, 3176, 1496, 3901, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110792, 2864, 1250, 2387, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110832, 2848, 1237, 1534, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110873, 2543, 1300, 1250, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110915, 2754, 690, 1562, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
110958, 2617, 1769, 2693, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111001, 2526, 1290, 2546, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111043, 2768, 1640, 2848, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111086, 2561, 1320, 2956, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111129, 2847, 1699, 2858, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111171, 2687, 1125, 2645, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111214, 2537, 1329, 2760, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111257, 2498, 1349, 2844, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111300, 2306, 1627, 2826, 76, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111339, 2414, 2189, 3025, 74, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111378, 2363, 2161, 3036, 74, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111418, 1984, 1714, 2828, 74, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111457, 1897, 2175, 2770, 74, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111497, 1876, 2095, 3058, 74, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111536, 1606, 1976, 3201, 74, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111576, 1788, 2316, 3059, 74, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111615, 1696, 2390, 3123, 74, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111655, 1653, 2302, 3187, 74, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111694, 1644, 2286, 3215, 74, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111734, 1751, 2490, 2981, 74, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111768, 1859, 2394, 2721, 74, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111802, 2017, 2479, 2762, 74, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111836, 2075, 2375, 2778, 74, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111870, 2050, 2355, 2713, 74, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111904, 2050, 2448, 2650, 74, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
111938, 2020, 2442, 2671, 74, c229182c-cdb1-4243-90f8-9a47beb0a45f, , transisi, transisi_sujud_ke_duduk, , 
