463486, 3344, 1590, 1644, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
463528, 3317, 1924, 1914, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
463569, 3304, 1802, 1796, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
463610, 3216, 1899, 1949, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
463652, 2993, 2093, 1949, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
463693, 3201, 1724, 2175, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
463735, 2928, 1735, 2329, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
463768, 2593, 1831, 2534, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
463802, 2580, 1778, 2743, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
463836, 2450, 1804, 2752, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
463870, 2470, 1908, 2718, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
463904, 2351, 2071, 2833, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
463938, 2354, 2082, 2764, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
463972, 2372, 2188, 3122, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464006, 1914, 2524, 2985, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464040, 1883, 2679, 2461, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464074, 1885, 2488, 3359, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464108, 1583, 2064, 3551, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464149, 1820, 1912, 3078, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464190, 1901, 2404, 2760, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464231, 1605, 2108, 2673, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464272, 1624, 2178, 2923, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464313, 1113, 1648, 2548, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464354, 1984, 2376, 3329, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464395, 1963, 1672, 2852, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464436, 2105, 2064, 2547, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464477, 3016, 2078, 3330, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464518, 4018, 1858, 3214, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464554, 4009, 1188, 3084, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464591, 3076, 647, 3326, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464627, 2723, 1227, 3109, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464664, 1613, 1201, 3204, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464700, 1404, 1428, 3553, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464737, 2674, 2004, 3129, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464773, 2579, 1096, 2428, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464810, 3118, 1282, 2519, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464846, 3187, 587, 2181, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464883, 2967, 484, 1782, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464920, 2498, 2091, 2984, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464958, 2186, 677, 2571, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
464997, 2163, 1636, 2983, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465036, 2307, 1382, 2889, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465075, 2200, 1330, 3114, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465114, 2100, 1295, 2969, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465153, 2003, 1379, 2789, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465192, 2121, 1460, 3535, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465231, 1958, 1020, 3403, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465270, 1998, 1188, 3568, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465309, 1957, 1192, 3452, 78, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465349, 2034, 1230, 3421, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465390, 2086, 1253, 3419, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465431, 2153, 1062, 3457, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465472, 2066, 1129, 3468, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465513, 1885, 1332, 3375, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465554, 1698, 1451, 3594, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465595, 1447, 1606, 3577, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465636, 1238, 1536, 3517, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465677, 1004, 1476, 3726, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465718, 881, 1358, 3506, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465754, 584, 1419, 3446, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465790, 279, 1351, 3578, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465827, 61, 1394, 3638, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
465863, -116, 1803, 4065, 79, ce6db2fc-a9bd-4a90-9919-de311003700b, , transisi, transisi_sujud_ke_duduk, , 
