121743, 3918, 802, 1208, 99, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
121790, 3870, 840, 1243, 99, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
121837, 3880, 841, 1295, 99, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
121884, 3879, 827, 1213, 99, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
121917, 3861, 861, 1280, 99, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
121950, 3837, 893, 1296, 99, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
121983, 3768, 871, 1348, 99, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122017, 3746, 995, 1409, 99, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122050, 3814, 854, 1523, 99, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122083, 3733, 954, 1633, 99, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122116, 3687, 903, 1687, 99, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122150, 3528, 1095, 1921, 99, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122183, 3630, 852, 1863, 99, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122216, 3603, 987, 1813, 99, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122250, 3643, 993, 1726, 99, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122288, 3660, 1005, 1651, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122326, 3699, 857, 1575, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122365, 3733, 897, 1615, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122403, 3861, 672, 1413, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122442, 3810, 810, 1382, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122480, 3875, 736, 1280, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122518, 3869, 884, 1139, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122557, 4015, 642, 1006, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122595, 4012, 874, 839, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122634, 4094, 632, 982, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122674, 3902, 490, 475, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122714, 4106, 494, 776, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122755, 4088, 374, 414, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122795, 4138, 188, 448, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122836, 4162, 214, 226, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122876, 4133, 18, 348, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122916, 4192, -67, 185, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122957, 4099, -454, 231, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
122997, 4117, -267, 173, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123038, 4085, -151, 328, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123074, 4142, -457, 340, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123110, 4113, -546, 326, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123146, 4180, -403, 488, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123182, 4111, -744, 438, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123218, 4127, -414, 615, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123254, 4412, -880, 321, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123290, 4608, 195, 727, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123326, 5727, -990, 2788, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123362, 4697, -589, -2462, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123398, 4420, -1596, -1518, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123434, 3819, -403, 630, 101, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123474, 4339, -893, 1085, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123514, 4125, -558, 1110, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123554, 4212, 42, 1516, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123594, 4131, -319, 1281, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123634, 3588, -210, 1609, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123674, 3018, -143, 867, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123714, 3756, 3561, 7782, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123754, 2287, -4321, 3746, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123794, 2661, 149, 1868, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123834, 3103, -1447, 1755, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123872, 3706, 22, 1891, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
