143693, 2884, 2036, 2119, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
143733, 2887, 2064, 2143, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
143774, 2871, 2074, 2173, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
143814, 2892, 2023, 2151, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
143854, 2810, 2109, 2185, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
143895, 2881, 2059, 2143, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
143935, 2815, 2127, 2251, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
143975, 2798, 2086, 2295, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
144016, 2750, 2040, 2296, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
144051, 2441, 2241, 2417, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
144087, 2598, 2100, 2533, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
144122, 2363, 2258, 2560, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
144158, 2292, 2185, 2687, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
144194, 2207, 2230, 2758, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
144229, 2189, 2072, 2804, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
144265, 2016, 2214, 2906, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
144301, 1988, 2119, 2939, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
144336, 1933, 2198, 2965, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
144372, 1902, 2085, 2986, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
144408, 1910, 2128, 3068, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
144448, 1870, 2062, 3027, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
144489, 1826, 2157, 3070, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
144529, 1814, 1958, 3207, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
144570, 1730, 2128, 3369, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
144611, 1854, 2207, 3242, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
144651, 2540, 1381, 3014, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
144692, 3082, 1450, 3238, 86, d899c7ae-7df9-4c0f-ad91-531fb3eb5d02, , transisi, transisi_sujud_ke_duduk, , 
