69212, 3115, 2250, 1620, 63, ff77623b-2da5-4397-a19d-177af6a48246, , transisi, transisi_sujud_ke_duduk, , 
69255, 3109, 2219, 1622, 63, ff77623b-2da5-4397-a19d-177af6a48246, , transisi, transisi_sujud_ke_duduk, , 
69290, 3102, 2198, 1625, 63, ff77623b-2da5-4397-a19d-177af6a48246, , transisi, transisi_sujud_ke_duduk, , 
69326, 3072, 2266, 1721, 63, ff77623b-2da5-4397-a19d-177af6a48246, , transisi, transisi_sujud_ke_duduk, , 
69362, 3027, 2221, 1726, 63, ff77623b-2da5-4397-a19d-177af6a48246, , transisi, transisi_sujud_ke_duduk, , 
69398, 3012, 2128, 1709, 63, ff77623b-2da5-4397-a19d-177af6a48246, , transisi, transisi_sujud_ke_duduk, , 
69434, 2991, 2177, 1873, 63, ff77623b-2da5-4397-a19d-177af6a48246, , transisi, transisi_sujud_ke_duduk, , 
69470, 2924, 2237, 2021, 63, ff77623b-2da5-4397-a19d-177af6a48246, , transisi, transisi_sujud_ke_duduk, , 
69506, 2869, 2147, 2056, 63, ff77623b-2da5-4397-a19d-177af6a48246, , transisi, transisi_sujud_ke_duduk, , 
69542, 2771, 2103, 2175, 63, ff77623b-2da5-4397-a19d-177af6a48246, , transisi, transisi_sujud_ke_duduk, , 
69578, 2707, 2189, 2264, 63, ff77623b-2da5-4397-a19d-177af6a48246, , transisi, transisi_sujud_ke_duduk, , 
69614, 2564, 2131, 2420, 63, ff77623b-2da5-4397-a19d-177af6a48246, , transisi, transisi_sujud_ke_duduk, , 
69656, 2539, 2140, 2483, 63, ff77623b-2da5-4397-a19d-177af6a48246, , transisi, transisi_sujud_ke_duduk, , 
69699, 2305, 2245, 2626, 63, ff77623b-2da5-4397-a19d-177af6a48246, , transisi, transisi_sujud_ke_duduk, , 
69741, 2318, 2060, 2658, 63, ff77623b-2da5-4397-a19d-177af6a48246, , transisi, transisi_sujud_ke_duduk, , 
69784, 2296, 2201, 2847, 63, ff77623b-2da5-4397-a19d-177af6a48246, , transisi, transisi_sujud_ke_duduk, , 
69826, 2260, 2026, 2818, 63, ff77623b-2da5-4397-a19d-177af6a48246, , transisi, transisi_sujud_ke_duduk, , 
69869, 2141, 2163, 2786, 63, ff77623b-2da5-4397-a19d-177af6a48246, , transisi, transisi_sujud_ke_duduk, , 
69911, 2242, 2155, 2710, 63, ff77623b-2da5-4397-a19d-177af6a48246, , transisi, transisi_sujud_ke_duduk, , 
